X,Y,Pressure,Time
87.3333333333333,133,0.5,0
87.3333333333333,133,0.5,15
89.3333333333333,135,0.5,15
89.3333333333333,139,0.5,31
91.3333333333333,149,0.5,31
91.3333333333333,161,0.5,47
96,179,0.5,47
100.666666666667,199,0.5,62
104.666666666667,223.666666666667,0.5,62
108,247,0.5,78
113.333333333333,268.333333333333,0.5,78
116,286.333333333333,0.5,93
119.333333333333,299.666666666667,0.5,93
122,313,0.5,109
122,325,0.5,109
124,335,0.5,125
124,343,0.5,125
124,348.333333333333,0.5,140
124,351,0.5,140
124,352.333333333333,0.5,140
124,351.666666666667,0.5,172
124,345.666666666667,0.5,187
122,279.666666666667,0.5,203
122,312.333333333333,0.5,203
122,332.333333333333,0.5,203
122,244.333333333333,0.5,218
126.666666666667,205,0.5,218
126.666666666667,167,0.5,234
130.666666666667,125,0.5,234
134,59,0.5,250
134,83.6666666666667,0.5,250
140.666666666667,41.6666666666667,0.5,265
144.666666666667,31.6666666666667,0.5,265
150,27,0.5,281
154.666666666667,23.6666666666667,0.5,281
160.666666666667,21.6666666666667,0.5,297
167.333333333333,21.6666666666667,0.5,297
172.666666666667,21.6666666666667,0.5,312
178.666666666667,23,0.5,312
183.333333333333,27.6666666666667,0.5,312
187.333333333333,33.6666666666667,0.5,328
190.666666666667,41.6666666666667,0.5,328
190.666666666667,53,0.5,343
190.666666666667,63.6666666666667,0.5,343
189.333333333333,75.6666666666667,0.5,359
162.666666666667,122.333333333333,0.5,375
174,105.666666666667,0.5,375
183.333333333333,89.6666666666667,0.5,375
136.666666666667,151,0.5,390
150,139,0.5,390
120,167,0.5,406
128.666666666667,160.333333333333,0.5,406
112.666666666667,172.333333333333,0.5,422
115.333333333333,171,0.5,422
113.333333333333,172.333333333333,0.5,484
114.666666666667,171,0.5,484
118,169,0.5,500
122.666666666667,169,0.5,500
130.666666666667,167,0.5,500
138.666666666667,167,0.5,515
148,167,0.5,515
156,167,0.5,531
166,169,0.5,547
175.333333333333,173,0.5,547
184,179,0.5,562
192.666666666667,185,0.5,562
200,193,0.5,562
206.666666666667,201,0.5,578
211.333333333333,210.333333333333,0.5,578
211.333333333333,219.666666666667,0.5,593
211.333333333333,230.333333333333,0.5,593
205.333333333333,252.333333333333,0.5,609
209.333333333333,241,0.5,609
190,276.333333333333,0.5,625
198.666666666667,263.666666666667,0.5,625
162.666666666667,304.333333333333,0.5,640
178,291,0.5,640
134.666666666667,333,0.5,656
150.666666666667,317.666666666667,0.5,656
103.333333333333,357,0.5,672
110.666666666667,351,0.5,672
120.666666666667,343,0.5,672
97.3333333333333,360.333333333333,0.5,687
93.3333333333333,361.666666666667,0.5,703
94.6666666666667,360.333333333333,0.5,703
93.3333333333333,361,0.5,734
94,359.666666666667,0.5,765
95.3333333333333,357,0.5,781
95.3333333333333,358.333333333333,0.5,781
97.3333333333333,357,0.5,797
98.6666666666667,355,0.5,797
102,353,0.5,812
105.333333333333,351.666666666667,0.5,812
111.333333333333,349.666666666667,0.5,828
118,346.333333333333,0.5,828
124.666666666667,344.333333333333,0.5,843
134,341,0.5,843
142,338.333333333333,0.5,859
152,336.333333333333,0.5,859
160,333,0.5,875
170,331,0.5,875
178,327.666666666667,0.5,890
185.333333333333,324.333333333333,0.5,890
192.666666666667,321.666666666667,0.5,906
198.666666666667,317.666666666667,0.5,906
204.666666666667,312.333333333333,0.5,922
208.666666666667,306.333333333333,0.5,922
212.666666666667,300.333333333333,0.5,922
214.666666666667,291.666666666667,0.5,937
214.666666666667,294.333333333333,0.5,937
214,290.333333333333,0.5,953
214.666666666667,290.333333333333,0.5,953
211.333333333333,288.333333333333,0.5,968
212.666666666667,290.333333333333,0.5,968
207.333333333333,288.333333333333,0.5,984
208.666666666667,288.333333333333,0.5,984
205.333333333333,288.333333333333,0.5,1000
206.666666666667,288.333333333333,0.5,1000
200.666666666667,291,0.5,1015
202.666666666667,289,0.5,1015
194,300.333333333333,0.5,1031
196.666666666667,295.666666666667,0.5,1031
188,312.333333333333,0.5,1047
190.666666666667,306.333333333333,0.5,1047
182.666666666667,327.666666666667,0.5,1062
184.666666666667,321,0.5,1062
182.666666666667,333,0.5,1078
182.666666666667,337.666666666667,0.5,1078
182.666666666667,341.666666666667,0.5,1093
182.666666666667,344.333333333333,0.5,1093
184,347,0.5,1093
185.333333333333,349,0.5,1109
187.333333333333,350.333333333333,0.5,1109
191.333333333333,350.333333333333,0.5,1125
197.333333333333,352.333333333333,0.5,1125
205.333333333333,352.333333333333,0.5,1140
214.666666666667,351,0.5,1140
226,347.666666666667,0.5,1156
236.666666666667,342.333333333333,0.5,1156
250,333.666666666667,0.5,1172
262,323,0.5,1172
277.333333333333,307,0.5,1187
296,282.333333333333,0.5,1187
316,247.666666666667,0.5,1203
339.333333333333,205,0.5,1203
358.666666666667,158.333333333333,0.5,1218
373.333333333333,119.666666666667,0.5,1218
385.333333333333,91.6666666666667,0.5,1234
388.666666666667,77.6666666666667,0.5,1234
390.666666666667,63,0.5,1250
390.666666666667,68.3333333333333,0.5,1250
390,61,0.5,1265
390.666666666667,61,0.5,1265
388.666666666667,61,0.5,1281
385.333333333333,63.6666666666667,0.5,1297
376.666666666667,84.3333333333333,0.5,1312
382,71.6666666666667,0.5,1312
363.333333333333,115,0.5,1328
370.666666666667,96.3333333333333,0.5,1328
338.666666666667,181,0.5,1343
351.333333333333,145,0.5,1343
320,233.666666666667,0.5,1359
326,211,0.5,1359
320,247,0.5,1375
320,257.666666666667,0.5,1375
320,267,0.5,1390
320,275,0.5,1390
323.333333333333,283,0.5,1406
325.333333333333,290.333333333333,0.5,1406
327.333333333333,296.333333333333,0.5,1422
330,301,0.5,1422
334,305.666666666667,0.5,1437
337.333333333333,309,0.5,1437
340,311.666666666667,0.5,1453
342,311.666666666667,0.5,1453
345.333333333333,313,0.5,1453
347.333333333333,313,0.5,1468
352.666666666667,311,0.5,1468
358.666666666667,307,0.5,1484
366,300.333333333333,0.5,1484
374,291.666666666667,0.5,1500
381.333333333333,281.666666666667,0.5,1500
389.333333333333,271,0.5,1515
396,259.666666666667,0.5,1515
403.333333333333,247,0.5,1531
408.666666666667,235.666666666667,0.5,1531
413.333333333333,223.666666666667,0.5,1547
416.666666666667,209,0.5,1547
421.333333333333,194.333333333333,0.5,1562
426.666666666667,177,0.5,1562
431.333333333333,161,0.5,1578
436,147,0.5,1578
442.666666666667,132.333333333333,0.5,1593
448,121,0.5,1593
452,112.333333333333,0.5,1609
457.333333333333,105,0.5,1609
460.666666666667,99,0.5,1625
463.333333333333,94.3333333333333,0.5,1625
463.333333333333,91.6666666666667,0.5,1640
465.333333333333,90.3333333333333,0.5,1640
461.333333333333,98.3333333333333,0.5,1687
464.666666666667,92.3333333333333,0.5,1687
452,117,0.5,1703
457.333333333333,107,0.5,1703
428,160.333333333333,0.5,1718
443.333333333333,131,0.5,1718
394,238.333333333333,0.5,1734
413.333333333333,197,0.5,1734
378.666666666667,290.333333333333,0.5,1750
384,269,0.5,1750
375.333333333333,304.333333333333,0.5,1765
375.333333333333,315,0.5,1765
373.333333333333,329.666666666667,0.5,1781
375.333333333333,323,0.5,1781
373.333333333333,336.333333333333,0.5,1797
373.333333333333,339.666666666667,0.5,1797
371.333333333333,342.333333333333,0.5,1812
371.333333333333,343.666666666667,0.5,1812
371.333333333333,341.666666666667,0.5,1859
372.666666666667,337.666666666667,0.5,1875
374.666666666667,330.333333333333,0.5,1875
378.666666666667,323,0.5,1875
384,317,0.5,1890
387.333333333333,313.666666666667,0.5,1890
392,309.666666666667,0.5,1906
398,306.333333333333,0.5,1906
404,303.666666666667,0.5,1922
408,303.666666666667,0.5,1922
411.333333333333,301,0.5,1937
