X,Y,Pressure,Time
292,195,0.5,0
292,195,0.5,0
292,196.333333333333,0.5,16
292,199,0.5,16
291.333333333333,201,0.5,32
291.333333333333,207,0.5,32
291.333333333333,216.333333333333,0.5,47
294,229,0.5,47
297.333333333333,242.333333333333,0.5,63
300,255.666666666667,0.5,63
305.333333333333,269.666666666667,0.5,78
308,281.666666666667,0.5,78
312,293,0.5,94
316,302.333333333333,0.5,94
318,312.333333333333,0.5,110
320,320.333333333333,0.5,110
322,329,0.5,125
322,335.666666666667,0.5,125
322,339.666666666667,0.5,125
324,341.666666666667,0.5,141
324,343,0.5,157
324,315,0.5,188
324,329.666666666667,0.5,188
324,339,0.5,188
324,270.333333333333,0.5,203
324,295,0.5,203
324,205,0.5,219
324,240.333333333333,0.5,219
321.333333333333,133,0.5,235
324,167,0.5,235
321.333333333333,95.6666666666667,0.5,250
321.333333333333,109,0.5,250
321.333333333333,85,0.5,266
324,76.3333333333333,0.5,266
328,70.3333333333333,0.5,282
333.333333333333,66.3333333333333,0.5,282
340.666666666667,63.6666666666667,0.5,297
350,61,0.5,297
360.666666666667,61,0.5,313
372.666666666667,61,0.5,313
384.666666666667,63,0.5,313
394.666666666667,67,0.5,328
403.333333333333,73.6666666666667,0.5,344
409.333333333333,79.6666666666667,0.5,344
412.666666666667,87,0.5,360
412.666666666667,95,0.5,360
391.333333333333,139,0.5,375
402.666666666667,120.333333333333,0.5,375
410,105.666666666667,0.5,375
366.666666666667,175,0.5,391
379.333333333333,158.333333333333,0.5,391
348.666666666667,195,0.5,407
357.333333333333,187,0.5,407
332,209,0.5,422
340,203,0.5,422
325.333333333333,215,0.5,438
327.333333333333,213,0.5,438
326,215,0.5,485
328,213,0.5,500
331.333333333333,213,0.5,500
336,209,0.5,516
342.666666666667,209,0.5,516
352,206.333333333333,0.5,532
362.666666666667,206.333333333333,0.5,532
376,206.333333333333,0.5,547
392,206.333333333333,0.5,547
412.666666666667,208.333333333333,0.5,547
428.666666666667,212.333333333333,0.5,563
443.333333333333,218.333333333333,0.5,563
453.333333333333,223.666666666667,0.5,578
458,230.333333333333,0.5,578
458,237,0.5,594
458,243.666666666667,0.5,594
449.333333333333,264.333333333333,0.5,610
456,254.333333333333,0.5,610
426,291,0.5,625
440,275.666666666667,0.5,625
391.333333333333,321.666666666667,0.5,641
410.666666666667,306.333333333333,0.5,641
353.333333333333,346.333333333333,0.5,657
372,335,0.5,657
328,360.333333333333,0.5,672
339.333333333333,355,0.5,672
318,365.666666666667,0.5,688
321.333333333333,363.666666666667,0.5,688
316,365.666666666667,0.5,703
318,365.666666666667,0.5,844
319.333333333333,365.666666666667,0.5,860
321.333333333333,367,0.5,875
324,367,0.5,875
327.333333333333,367,0.5,891
332,367,0.5,891
339.333333333333,367,0.5,907
348.666666666667,367,0.5,907
359.333333333333,365.666666666667,0.5,907
373.333333333333,361.666666666667,0.5,922
388.666666666667,357,0.5,922
405.333333333333,352.333333333333,0.5,938
420.666666666667,344.333333333333,0.5,938
432,336.333333333333,0.5,953
440.666666666667,329,0.5,953
447.333333333333,320.333333333333,0.5,969
452.666666666667,311.666666666667,0.5,969
456,301.666666666667,0.5,985
458,291,0.5,985
458,264.333333333333,0.5,1000
458,277.666666666667,0.5,1000
458,245.666666666667,0.5,1016
458,253,0.5,1016
457.333333333333,239.666666666667,0.5,1032
458,241.666666666667,0.5,1032
456,238.333333333333,0.5,1047
457.333333333333,238.333333333333,0.5,1047
456.666666666667,239,0.5,1110
460,240.333333333333,0.5,1125
462,240.333333333333,0.5,1141
466,240.333333333333,0.5,1141
474,243,0.5,1157
483.333333333333,243,0.5,1157
496.666666666667,243,0.5,1172
514,239.666666666667,0.5,1172
528.666666666667,237,0.5,1188
540.666666666667,235,0.5,1188
550,233,0.5,1203
554,233,0.5,1203
554.666666666667,231.666666666667,0.5,1219
548,237,0.5,1266
550.666666666667,233.666666666667,0.5,1266
554,232.333333333333,0.5,1266
540.666666666667,248.333333333333,0.5,1282
544.666666666667,242.333333333333,0.5,1282
528.666666666667,265.666666666667,0.5,1297
534.666666666667,255.666666666667,0.5,1297
524,275,0.5,1313
518.666666666667,293,0.5,1328
518.666666666667,299.666666666667,0.5,1328
520.666666666667,285,0.5,1328
518.666666666667,303.666666666667,0.5,1344
518.666666666667,307,0.5,1344
518.666666666667,308.333333333333,0.5,1360
518.666666666667,309.666666666667,0.5,1360
520.666666666667,309.666666666667,0.5,1375
524,309.666666666667,0.5,1391
526.666666666667,307.666666666667,0.5,1407
532,304.333333333333,0.5,1407
536.666666666667,300.333333333333,0.5,1422
540.666666666667,296.333333333333,0.5,1422
544.666666666667,293,0.5,1438
550,289,0.5,1438
554.666666666667,283.666666666667,0.5,1453
560,279,0.5,1453
564,274.333333333333,0.5,1453
566.666666666667,269.666666666667,0.5,1469
570.666666666667,264.333333333333,0.5,1469
572.666666666667,262.333333333333,0.5,1485
574.666666666667,260.333333333333,0.5,1500
576.666666666667,260.333333333333,0.5,1516
578,259,0.5,1532
578.666666666667,259,0.5,1532
582,259,0.5,1547
584.666666666667,259,0.5,1563
586.666666666667,259,0.5,1578
588.666666666667,259,0.5,1594
590.666666666667,259,0.5,1610
592,259,0.5,1625
592.666666666667,256.333333333333,0.5,1625
596,255,0.5,1641
596.666666666667,253.666666666667,0.5,1672
596.666666666667,252.333333333333,0.5,1688
594.666666666667,253,0.5,1735
596.666666666667,252.333333333333,0.5,1735
590.666666666667,254.333333333333,0.5,1750
592.666666666667,254.333333333333,0.5,1750
588.666666666667,257.666666666667,0.5,1766
588,257.666666666667,0.5,1797
584.666666666667,257.666666666667,0.5,1813
586,257.666666666667,0.5,1813
582,257.666666666667,0.5,1828
582.666666666667,257.666666666667,0.5,1828
580.666666666667,257.666666666667,0.5,1844
578,261.666666666667,0.5,1860
578.666666666667,259.666666666667,0.5,1860
572.666666666667,267,0.5,1875
574.666666666667,263,0.5,1875
574.666666666667,265,0.5,1875
572.666666666667,268.333333333333,0.5,1891
572.666666666667,269.666666666667,0.5,1891
572.666666666667,271,0.5,1907
574.666666666667,271,0.5,1922
576.666666666667,271,0.5,1922
580.666666666667,271,0.5,1938
588.666666666667,267.666666666667,0.5,1938
598.666666666667,263.666666666667,0.5,1953
610.666666666667,259,0.5,1953
628.666666666667,253.666666666667,0.5,1969
646.666666666667,249.666666666667,0.5,1969
664.666666666667,245.666666666667,0.5,1985
683.333333333333,243.666666666667,0.5,1985
697.333333333333,239.666666666667,0.5,1985
708,237.666666666667,0.5,2000
717.333333333333,237.666666666667,0.5,2016
722,235.666666666667,0.5,2016
724,235.666666666667,0.5,2032
723.333333333333,235.666666666667,0.5,2063
722,235,0.5,2157
722,235.666666666667,0.5,2157
716,233,0.5,2172
718.666666666667,233,0.5,2172
720,235,0.5,2172
712,233,0.5,2188
698.666666666667,233,0.5,2203
706.666666666667,233,0.5,2203
674,239.666666666667,0.5,2219
688,235,0.5,2219
624.666666666667,266.333333333333,0.5,2235
638.666666666667,255.666666666667,0.5,2235
656.666666666667,247.666666666667,0.5,2235
618,275,0.5,2250
618,279,0.5,2250
618,281.666666666667,0.5,2266
618,283.666666666667,0.5,2266
620.666666666667,285.666666666667,0.5,2282
626.666666666667,285.666666666667,0.5,2282
634.666666666667,285.666666666667,0.5,2297
644.666666666667,285.666666666667,0.5,2297
654.666666666667,281.666666666667,0.5,2313
666.666666666667,277.666666666667,0.5,2313
676,273,0.5,2328
684.666666666667,267.666666666667,0.5,2328
693.333333333333,261,0.5,2344
700.666666666667,255,0.5,2344
707.333333333333,249,0.5,2360
712,243.666666666667,0.5,2360
714,241.666666666667,0.5,2375
715.333333333333,241.666666666667,0.5,2375
715.333333333333,240.333333333333,0.5,2391
714.666666666667,240.333333333333,0.5,2407
709.333333333333,244.333333333333,0.5,2422
712.666666666667,241.666666666667,0.5,2422
704,249,0.5,2438
706,247,0.5,2438
704,250.333333333333,0.5,2453
704,251.666666666667,0.5,2453
704,253,0.5,2469
704,254.333333333333,0.5,2485
706,254.333333333333,0.5,2485
708.666666666667,254.333333333333,0.5,2500
712,253.666666666667,0.5,2500
716.666666666667,251,0.5,2516
720,248.333333333333,0.5,2516
722.666666666667,245.666666666667,0.5,2532
