X,Y,Pressure,Time
247.333333333333,234.333333333333,0.5,0
247.333333333333,234.333333333333,0.5,0
247.333333333333,233,0.5,79
248,227.666666666667,0.5,94
248,230.333333333333,0.5,94
249.333333333333,223,0.5,110
251.333333333333,219,0.5,110
253.333333333333,213,0.5,125
256,208.333333333333,0.5,125
258,205,0.5,141
259.333333333333,201,0.5,141
261.333333333333,197,0.5,157
261.333333333333,198.333333333333,0.5,157
263.333333333333,195,0.5,172
263.333333333333,197,0.5,172
263.333333333333,196.333333333333,0.5,204
264,199,0.5,204
264,205,0.5,219
264,215.666666666667,0.5,219
254,273,0.5,235
258,251.666666666667,0.5,235
263.333333333333,230.333333333333,0.5,235
244,325.666666666667,0.5,250
250,299,0.5,250
234,381,0.5,266
238.666666666667,355,0.5,266
229.333333333333,411.666666666667,0.5,282
234,397.666666666667,0.5,282
225.333333333333,431,0.5,297
229.333333333333,421,0.5,297
221.333333333333,443.666666666667,0.5,313
223.333333333333,437.666666666667,0.5,313
221.333333333333,445.666666666667,0.5,329
224.666666666667,439.666666666667,0.5,360
230,427,0.5,375
239.333333333333,409,0.5,391
248.666666666667,383.666666666667,0.5,391
260,353,0.5,407
270,320.333333333333,0.5,407
280,292.333333333333,0.5,407
288,272.333333333333,0.5,422
292,260.333333333333,0.5,422
296,250.333333333333,0.5,438
300,241,0.5,438
305.333333333333,232.333333333333,0.5,454
309.333333333333,226.333333333333,0.5,454
313.333333333333,220.333333333333,0.5,469
316,217.666666666667,0.5,469
318,216.333333333333,0.5,485
321.333333333333,216.333333333333,0.5,485
322,216.333333333333,0.5,500
323.333333333333,216.333333333333,0.5,500
325.333333333333,219,0.5,516
325.333333333333,223,0.5,516
326,251,0.5,532
327.333333333333,229.666666666667,0.5,532
327.333333333333,239,0.5,532
318,290.333333333333,0.5,547
322,267,0.5,547
311.333333333333,317,0.5,563
304,356.333333333333,0.5,579
308,340.333333333333,0.5,579
302,374.333333333333,0.5,594
302,378.333333333333,0.5,594
304,367,0.5,594
302,380.333333333333,0.5,610
302,381.666666666667,0.5,610
300,381.666666666667,0.5,625
300,380.333333333333,0.5,657
303.333333333333,375,0.5,657
308,363.666666666667,0.5,672
312,346.333333333333,0.5,672
320,323.666666666667,0.5,688
328,301.666666666667,0.5,688
336,283.666666666667,0.5,704
341.333333333333,271.666666666667,0.5,704
346.666666666667,261.666666666667,0.5,719
353.333333333333,255.666666666667,0.5,719
357.333333333333,250.333333333333,0.5,735
362,247.666666666667,0.5,735
366,246.333333333333,0.5,750
368.666666666667,246.333333333333,0.5,750
370,244.333333333333,0.5,766
371.333333333333,245.666666666667,0.5,766
371.333333333333,246.333333333333,0.5,782
371.333333333333,249.666666666667,0.5,782
366,265.666666666667,0.5,797
371.333333333333,255,0.5,797
351.333333333333,303.666666666667,0.5,813
360,283.666666666667,0.5,813
340,342.333333333333,0.5,829
344,326.333333333333,0.5,829
338,354.333333333333,0.5,844
338,362.333333333333,0.5,844
336,367,0.5,860
336,369,0.5,860
336,370.333333333333,0.5,875
338,366.333333333333,0.5,922
341.333333333333,359.666666666667,0.5,922
346.666666666667,351,0.5,938
352,341,0.5,938
358.666666666667,331,0.5,954
364.666666666667,325.666666666667,0.5,954
368,323.666666666667,0.5,954
370.666666666667,321.666666666667,0.5,969
372,321.666666666667,0.5,969
372,325,0.5,1016
368,339,0.5,1032
372,330.333333333333,0.5,1032
361.333333333333,359.666666666667,0.5,1047
364.666666666667,349,0.5,1047
356,381.666666666667,0.5,1063
358,371.666666666667,0.5,1063
354,395.666666666667,0.5,1079
356,389.666666666667,0.5,1079
354,401,0.5,1094
354,403.666666666667,0.5,1094
354,405,0.5,1110
354.666666666667,405.666666666667,0.5,1110
357.333333333333,405.666666666667,0.5,1125
360,405.666666666667,0.5,1141
362,405.666666666667,0.5,1141
365.333333333333,403.666666666667,0.5,1157
370.666666666667,399,0.5,1157
376.666666666667,391,0.5,1172
384.666666666667,382.333333333333,0.5,1172
392,372.333333333333,0.5,1188
401.333333333333,362.333333333333,0.5,1188
408.666666666667,355,0.5,1204
414.666666666667,349,0.5,1204
421.333333333333,342.333333333333,0.5,1219
427.333333333333,338.333333333333,0.5,1219
432,335,0.5,1235
436.666666666667,333,0.5,1235
440,331,0.5,1250
442,331,0.5,1250
444,329,0.5,1266
445.333333333333,329,0.5,1282
442.666666666667,329,0.5,1344
444,329,0.5,1344
440,327.666666666667,0.5,1360
441.333333333333,327.666666666667,0.5,1360
435.333333333333,328.333333333333,0.5,1375
438,327.666666666667,0.5,1375
429.333333333333,332.333333333333,0.5,1391
432.666666666667,329.666666666667,0.5,1391
419.333333333333,342.333333333333,0.5,1407
424,336.333333333333,0.5,1407
408,362.333333333333,0.5,1422
413.333333333333,352.333333333333,0.5,1422
400.666666666667,380.333333333333,0.5,1438
404,371.666666666667,0.5,1438
399.333333333333,389,0.5,1454
400.666666666667,385.666666666667,0.5,1454
399.333333333333,389.666666666667,0.5,1469
400.666666666667,389.666666666667,0.5,1469
402,391.666666666667,0.5,1485
404,391.666666666667,0.5,1485
407.333333333333,391.666666666667,0.5,1485
412.666666666667,389,0.5,1500
417.333333333333,385,0.5,1500
423.333333333333,379.666666666667,0.5,1516
428,375,0.5,1516
434.666666666667,367.666666666667,0.5,1532
440,361.666666666667,0.5,1532
444,354.333333333333,0.5,1547
446.666666666667,348.333333333333,0.5,1547
449.333333333333,343,0.5,1563
449.333333333333,345,0.5,1563
450.666666666667,341,0.5,1579
448,345,0.5,1625
449.333333333333,341,0.5,1625
440.666666666667,357,0.5,1641
444.666666666667,349.666666666667,0.5,1641
436.666666666667,372.333333333333,0.5,1657
438.666666666667,363.666666666667,0.5,1657
434.666666666667,379,0.5,1672
434.666666666667,383,0.5,1672
434.666666666667,387,0.5,1672
434.666666666667,389.666666666667,0.5,1688
434.666666666667,391.666666666667,0.5,1688
434.666666666667,393,0.5,1704
435.333333333333,393.666666666667,0.5,1719
436.666666666667,393.666666666667,0.5,1735
440,391.666666666667,0.5,1750
443.333333333333,389,0.5,1750
448,383,0.5,1766
452.666666666667,377,0.5,1766
458,369.666666666667,0.5,1782
463.333333333333,362.333333333333,0.5,1782
467.333333333333,357,0.5,1797
470,352.333333333333,0.5,1797
470,349.666666666667,0.5,1813
471.333333333333,346.333333333333,0.5,1813
471.333333333333,342.333333333333,0.5,1829
471.333333333333,344.333333333333,0.5,1829
471.333333333333,339.666666666667,0.5,1844
473.333333333333,335.666666666667,0.5,1844
473.333333333333,337.666666666667,0.5,1844
473.333333333333,333,0.5,1860
473.333333333333,334.333333333333,0.5,1860
474,331,0.5,1875
474,333,0.5,1875
476,332.333333333333,0.5,1938
476,333.666666666667,0.5,1954
477.333333333333,335,0.5,1954
478.666666666667,336.333333333333,0.5,1969
480,336.333333333333,0.5,1969
481.333333333333,338.333333333333,0.5,1985
483.333333333333,338.333333333333,0.5,1985
486.666666666667,338.333333333333,0.5,2000
488.666666666667,338.333333333333,0.5,2000
491.333333333333,338.333333333333,0.5,2016
