X,Y,Pressure,Time
259.333333333333,139,0.5,0
259.333333333333,139,0.5,0
259.333333333333,140.333333333333,0.5,16
258,147,0.5,32
259.333333333333,143,0.5,32
258,154.333333333333,0.5,47
258,163,0.5,47
252,185,0.5,63
255.333333333333,174.333333333333,0.5,63
249.333333333333,207,0.5,79
252,195,0.5,79
245.333333333333,231,0.5,94
247.333333333333,219,0.5,94
240.666666666667,251.666666666667,0.5,110
245.333333333333,241.666666666667,0.5,110
238.666666666667,265,0.5,125
240.666666666667,259.666666666667,0.5,125
237.333333333333,272.333333333333,0.5,141
238.666666666667,269,0.5,141
237.333333333333,275,0.5,157
237.333333333333,269,0.5,188
237.333333333333,274.333333333333,0.5,188
240,259.666666666667,0.5,204
242,246.333333333333,0.5,204
246,229,0.5,219
251.333333333333,207,0.5,219
257.333333333333,187,0.5,235
263.333333333333,173,0.5,235
270,160.333333333333,0.5,250
278,146.333333333333,0.5,250
287.333333333333,133,0.5,266
296,121,0.5,266
306,111,0.5,282
313.333333333333,103.666666666667,0.5,282
320,98.3333333333333,0.5,297
326,94.3333333333333,0.5,297
330,93,0.5,313
332,93,0.5,313
333.333333333333,93,0.5,329
333.333333333333,96.3333333333333,0.5,344
333.333333333333,100.333333333333,0.5,344
333.333333333333,105.666666666667,0.5,344
320,127,0.5,360
327.333333333333,115.666666666667,0.5,360
304,153,0.5,375
312,139,0.5,375
296,163,0.5,391
278,183,0.5,407
283.333333333333,178.333333333333,0.5,407
290,171,0.5,407
273.333333333333,189,0.5,422
274,187,0.5,422
272,189,0.5,438
272,190.333333333333,0.5,438
272,186.333333333333,0.5,469
272,189,0.5,469
274,184.333333333333,0.5,485
277.333333333333,183,0.5,485
278,181,0.5,500
280,181,0.5,500
282,179,0.5,516
284,179,0.5,516
286,181,0.5,532
288,183,0.5,547
289.333333333333,185,0.5,547
289.333333333333,187,0.5,563
289.333333333333,190.333333333333,0.5,563
289.333333333333,193,0.5,579
289.333333333333,197,0.5,579
288,208.333333333333,0.5,594
289.333333333333,203,0.5,594
286,217,0.5,610
288,213,0.5,610
286,219,0.5,625
286,220.333333333333,0.5,625
286,221.666666666667,0.5,641
288,220.333333333333,0.5,688
289.333333333333,220.333333333333,0.5,704
291.333333333333,220.333333333333,0.5,719
291.333333333333,221.666666666667,0.5,719
294,223.666666666667,0.5,735
294,225,0.5,735
295.333333333333,227.666666666667,0.5,750
295.333333333333,229.666666666667,0.5,766
296,231,0.5,766
296,233,0.5,766
298,234.333333333333,0.5,782
298,235.666666666667,0.5,782
299.333333333333,237.666666666667,0.5,797
301.333333333333,239.666666666667,0.5,813
302,241,0.5,829
304,241,0.5,844
305.333333333333,241,0.5,860
306,241,0.5,875
308,237.666666666667,0.5,875
310,233,0.5,875
314,227,0.5,891
318,219.666666666667,0.5,891
324,211,0.5,907
330,202.333333333333,0.5,907
336,195,0.5,922
342.666666666667,187,0.5,938
348.666666666667,181,0.5,938
356,175,0.5,938
363.333333333333,171,0.5,954
369.333333333333,167,0.5,954
376.666666666667,163,0.5,969
382,161,0.5,969
386.666666666667,161,0.5,985
390,159,0.5,985
392,159,0.5,1000
393.333333333333,159,0.5,1000
391.333333333333,159,0.5,1094
392.666666666667,159,0.5,1094
389.333333333333,159,0.5,1110
380,162.333333333333,0.5,1125
384,159,0.5,1125
387.333333333333,159,0.5,1125
368.666666666667,170.333333333333,0.5,1141
374.666666666667,166.333333333333,0.5,1141
356,186.333333333333,0.5,1157
362.666666666667,177,0.5,1157
344.666666666667,210.333333333333,0.5,1172
350.666666666667,197,0.5,1172
338.666666666667,230.333333333333,0.5,1188
340.666666666667,222.333333333333,0.5,1188
338.666666666667,236.333333333333,0.5,1204
338.666666666667,239,0.5,1204
338.666666666667,240.333333333333,0.5,1219
340,241.666666666667,0.5,1219
342,241.666666666667,0.5,1235
346,241.666666666667,0.5,1235
351.333333333333,241.666666666667,0.5,1235
358.666666666667,238.333333333333,0.5,1250
368.666666666667,233,0.5,1266
380,225,0.5,1266
390,216.333333333333,0.5,1282
398.666666666667,205,0.5,1282
406.666666666667,195,0.5,1297
413.333333333333,183,0.5,1297
418.666666666667,173,0.5,1297
420.666666666667,157,0.5,1313
420.666666666667,164.333333333333,0.5,1313
420.666666666667,155,0.5,1329
418.666666666667,153,0.5,1344
420,153,0.5,1344
413.333333333333,155,0.5,1360
416.666666666667,153,0.5,1360
406.666666666667,161,0.5,1375
410,158.333333333333,0.5,1375
400,170.333333333333,0.5,1391
402.666666666667,165,0.5,1391
396.666666666667,179,0.5,1407
398,175,0.5,1407
394.666666666667,183,0.5,1422
396.666666666667,182.333333333333,0.5,1422
396.666666666667,183,0.5,1454
398,183,0.5,1454
400,183,0.5,1469
401.333333333333,181,0.5,1469
404,176.333333333333,0.5,1485
404,179,0.5,1485
406,176.333333333333,0.5,1485
406,174.333333333333,0.5,1500
405.333333333333,175,0.5,1532
402,183,0.5,1547
403.333333333333,178.333333333333,0.5,1547
400,190.333333333333,0.5,1563
402,187,0.5,1563
400,192.333333333333,0.5,1579
400,193,0.5,1579
400,195,0.5,1594
400.666666666667,195,0.5,1594
400.666666666667,196.333333333333,0.5,1610
402,196.333333333333,0.5,1610
403.333333333333,197,0.5,1625
405.333333333333,197,0.5,1641
406.666666666667,197,0.5,1657
408,197,0.5,1657
410.666666666667,195,0.5,1657
412.666666666667,193,0.5,1672
416,190.333333333333,0.5,1672
420,187,0.5,1688
424.666666666667,183,0.5,1688
429.333333333333,180.333333333333,0.5,1704
434,176.333333333333,0.5,1704
436.666666666667,175,0.5,1719
439.333333333333,173,0.5,1719
442,173,0.5,1735
444.666666666667,171,0.5,1735
447.333333333333,171,0.5,1750
450.666666666667,168.333333333333,0.5,1750
453.333333333333,168.333333333333,0.5,1766
455.333333333333,168.333333333333,0.5,1766
458.666666666667,168.333333333333,0.5,1782
460.666666666667,168.333333333333,0.5,1782
462.666666666667,168.333333333333,0.5,1797
464.666666666667,168.333333333333,0.5,1797
466,168.333333333333,0.5,1813
466,169,0.5,1829
464.666666666667,169,0.5,1907
460.666666666667,169,0.5,1922
462.666666666667,169,0.5,1922
454,171,0.5,1938
457.333333333333,169,0.5,1938
449.333333333333,172.333333333333,0.5,1954
451.333333333333,171,0.5,1954
443.333333333333,176.333333333333,0.5,1969
446.666666666667,173,0.5,1969
436,185,0.5,1985
440.666666666667,179,0.5,1985
426.666666666667,200.333333333333,0.5,2000
430.666666666667,193,0.5,2000
419.333333333333,217,0.5,2016
419.333333333333,223,0.5,2016
422,209,0.5,2016
419.333333333333,225.666666666667,0.5,2032
419.333333333333,227.666666666667,0.5,2032
419.333333333333,229,0.5,2047
421.333333333333,230.333333333333,0.5,2063
424,230.333333333333,0.5,2079
426,230.333333333333,0.5,2079
428.666666666667,229,0.5,2094
432,226.333333333333,0.5,2094
436.666666666667,221.666666666667,0.5,2110
443.333333333333,215,0.5,2110
450.666666666667,207,0.5,2125
458.666666666667,197,0.5,2125
469.333333333333,184.333333333333,0.5,2141
484.666666666667,164.333333333333,0.5,2141
502,141,0.5,2157
518,119.666666666667,0.5,2157
530.666666666667,100.333333333333,0.5,2172
540.666666666667,89,0.5,2172
546.666666666667,82.3333333333333,0.5,2188
548.666666666667,79,0.5,2188
550.666666666667,77.6666666666667,0.5,2204
552.666666666667,76.3333333333333,0.5,2219
552.666666666667,77.6666666666667,0.5,2250
546.666666666667,91.6666666666667,0.5,2266
550.666666666667,84.3333333333333,0.5,2266
552.666666666667,79.6666666666667,0.5,2266
532.666666666667,116.333333333333,0.5,2282
542,101,0.5,2282
504.666666666667,161,0.5,2297
518.666666666667,137,0.5,2297
480,206.333333333333,0.5,2313
490,188.333333333333,0.5,2313
472.666666666667,223.666666666667,0.5,2329
476,216.333333333333,0.5,2329
470.666666666667,227.666666666667,0.5,2344
470.666666666667,230.333333333333,0.5,2344
469.333333333333,232.333333333333,0.5,2360
469.333333333333,233.666666666667,0.5,2360
470.666666666667,230.333333333333,0.5,2407
473.333333333333,224.333333333333,0.5,2422
478.666666666667,215.666666666667,0.5,2438
485.333333333333,205,0.5,2438
492,195,0.5,2438
498.666666666667,185,0.5,2454
