X,Y,Pressure,Time
92.6666666666667,409.666666666667,0.5,0
92.6666666666667,409.666666666667,0.5,0
96,405.666666666667,0.5,15
100.666666666667,401,0.5,15
107.333333333333,393.666666666667,0.5,31
114.666666666667,387.666666666667,0.5,47
122.666666666667,379.666666666667,0.5,47
134.666666666667,369,0.5,47
150,355,0.5,62
166,339.666666666667,0.5,62
184.666666666667,319,0.5,78
204.666666666667,293.666666666667,0.5,78
230,263,0.5,93
256,230.333333333333,0.5,93
286,196.333333333333,0.5,109
313.333333333333,165,0.5,109
338.666666666667,134.333333333333,0.5,125
362.666666666667,99,0.5,125
378.666666666667,67.6666666666667,0.5,140
390.666666666667,37,0.5,140
400,9,0.5,156
405.333333333333,-7,0.5,156
407.333333333333,-19.6666666666667,0.5,156
407.333333333333,-27.6666666666667,0.5,172
407.333333333333,-37,0.5,187
407.333333333333,-34.3333333333333,0.5,187
402.666666666667,-39,0.5,203
404.666666666667,-39,0.5,203
392,-38.3333333333333,0.5,218
396.666666666667,-40.3333333333333,0.5,218
400.666666666667,-40.3333333333333,0.5,218
380.666666666667,-27,0.5,234
387.333333333333,-34.3333333333333,0.5,234
363.333333333333,-3.66666666666667,0.5,250
372.666666666667,-17,0.5,250
339.333333333333,48.3333333333333,0.5,265
350.666666666667,19.6666666666667,0.5,265
320,98.3333333333333,0.5,281
327.333333333333,76.3333333333333,0.5,281
316,111,0.5,297
316,121.666666666667,0.5,297
316,129,0.5,312
316,135,0.5,312
320,139,0.5,328
324,144.333333333333,0.5,328
332,149,0.5,343
342,153,0.5,343
352.666666666667,158.333333333333,0.5,359
365.333333333333,163,0.5,359
377.333333333333,169,0.5,375
390,174.333333333333,0.5,375
401.333333333333,181,0.5,390
411.333333333333,187,0.5,390
420,194.333333333333,0.5,406
424.666666666667,200.333333333333,0.5,406
428.666666666667,206.333333333333,0.5,406
428.666666666667,213,0.5,422
428.666666666667,221,0.5,422
426.666666666667,237.666666666667,0.5,437
428.666666666667,229,0.5,437
