X,Y,Pressure,Time
148.666666666667,334.333333333333,0.5,0
148.666666666667,334.333333333333,0.5,0
148.666666666667,333.666666666667,0.5,47
150.666666666667,331.666666666667,0.5,47
154.666666666667,328.333333333333,0.5,63
160.666666666667,323.666666666667,0.5,63
168,317,0.5,78
176.666666666667,310.333333333333,0.5,78
188,303.666666666667,0.5,94
199.333333333333,297,0.5,94
210,290.333333333333,0.5,110
223.333333333333,281,0.5,110
236,269.666666666667,0.5,125
249.333333333333,255,0.5,125
264,235,0.5,141
280,213,0.5,141
296,188.333333333333,0.5,157
313.333333333333,164.333333333333,0.5,157
328,144.333333333333,0.5,172
342.666666666667,127,0.5,172
354.666666666667,112.333333333333,0.5,188
362.666666666667,101,0.5,188
368,91.6666666666667,0.5,203
372,83,0.5,203
374,75.6666666666667,0.5,203
374,67.6666666666667,0.5,219
374,70.3333333333333,0.5,219
370,65,0.5,235
373.333333333333,65,0.5,235
363.333333333333,65,0.5,250
367.333333333333,65,0.5,250
354,71,0.5,266
358.666666666667,67,0.5,266
347.333333333333,80.3333333333333,0.5,282
350,75.6666666666667,0.5,282
345.333333333333,85,0.5,297
345.333333333333,87,0.5,297
345.333333333333,89.6666666666667,0.5,313
345.333333333333,91.6666666666667,0.5,313
346,93.6666666666667,0.5,328
348.666666666667,96.3333333333333,0.5,328
353.333333333333,99.6666666666667,0.5,344
358,103.666666666667,0.5,344
364,107.666666666667,0.5,360
370,111.666666666667,0.5,360
376,117,0.5,375
381.333333333333,121,0.5,375
386,125.666666666667,0.5,375
391.333333333333,131,0.5,391
395.333333333333,139,0.5,391
399.333333333333,147,0.5,407
404,158.333333333333,0.5,407
407.333333333333,169,0.5,422
409.333333333333,181,0.5,422
411.333333333333,193,0.5,438
411.333333333333,205,0.5,438
414,216.333333333333,0.5,453
414,225.666666666667,0.5,453
414,233.666666666667,0.5,469
414,241.666666666667,0.5,469
407.333333333333,255,0.5,485
410,249,0.5,485
398,268.333333333333,0.5,500
403.333333333333,262.333333333333,0.5,500
379.333333333333,281.666666666667,0.5,516
390.666666666667,275,0.5,516
352,294.333333333333,0.5,532
366.666666666667,288.333333333333,0.5,532
320,300.333333333333,0.5,547
336,298.333333333333,0.5,547
277.333333333333,300.333333333333,0.5,563
291.333333333333,300.333333333333,0.5,563
306,300.333333333333,0.5,563
250,300.333333333333,0.5,578
264,300.333333333333,0.5,578
228.666666666667,297,0.5,594
238.666666666667,300.333333333333,0.5,594
216,292.333333333333,0.5,610
222,295,0.5,610
214,290.333333333333,0.5,625
212.666666666667,289,0.5,641
213.333333333333,289,0.5,657
216,286.333333333333,0.5,657
223.333333333333,286.333333333333,0.5,672
231.333333333333,284.333333333333,0.5,672
239.333333333333,284.333333333333,0.5,688
248.666666666667,284.333333333333,0.5,688
258,288.333333333333,0.5,703
268,291.666666666667,0.5,703
278,295.666666666667,0.5,719
287.333333333333,300.333333333333,0.5,719
297.333333333333,304.333333333333,0.5,735
307.333333333333,309,0.5,735
316,312.333333333333,0.5,750
326,316.333333333333,0.5,750
336,321,0.5,750
344.666666666667,323.666666666667,0.5,766
353.333333333333,327,0.5,766
360,329,0.5,782
365.333333333333,329,0.5,782
371.333333333333,333,0.5,797
376,333,0.5,797
378.666666666667,333,0.5,813
382,333,0.5,813
384,333,0.5,828
385.333333333333,333,0.5,828
386.666666666667,333,0.5,844
388.666666666667,333,0.5,860
390,333,0.5,875
391.333333333333,333,0.5,891
392.666666666667,333,0.5,985
393.333333333333,333,0.5,1016
394.666666666667,333,0.5,1094
394.666666666667,334.333333333333,0.5,1110
396,334.333333333333,0.5,1125
398,334.333333333333,0.5,1125
399.333333333333,334.333333333333,0.5,1141
402,334.333333333333,0.5,1157
405.333333333333,331.666666666667,0.5,1157
411.333333333333,328.333333333333,0.5,1157
418.666666666667,323.666666666667,0.5,1172
424.666666666667,319.666666666667,0.5,1172
432,311.666666666667,0.5,1188
439.333333333333,304.333333333333,0.5,1188
447.333333333333,295.666666666667,0.5,1203
453.333333333333,287,0.5,1203
459.333333333333,277,0.5,1219
