X,Y,Pressure,Time
332,81.6666666666667,0.5,0
332,81.6666666666667,0.5,0
331.333333333333,88.3333333333333,0.5,31
332,83,0.5,31
326,111,0.5,47
329.333333333333,97.6666666666667,0.5,47
319.333333333333,145,0.5,62
323.333333333333,126.333333333333,0.5,62
314,175,0.5,78
317.333333333333,160.333333333333,0.5,78
310,198.333333333333,0.5,94
312,187,0.5,94
305.333333333333,217.666666666667,0.5,109
308,208.333333333333,0.5,109
297.333333333333,237,0.5,125
302,227.666666666667,0.5,125
290,260.333333333333,0.5,140
293.333333333333,249.666666666667,0.5,140
287.333333333333,268.333333333333,0.5,156
287.333333333333,274.333333333333,0.5,156
286,277.666666666667,0.5,172
286,278.333333333333,0.5,172
288,274.333333333333,0.5,203
292,268.333333333333,0.5,203
297.333333333333,259,0.5,219
302,249,0.5,219
309.333333333333,239,0.5,234
316,231.666666666667,0.5,234
324,226.333333333333,0.5,250
331.333333333333,222.333333333333,0.5,250
338.666666666667,219,0.5,265
342.666666666667,219,0.5,265
346,216.333333333333,0.5,281
347.333333333333,216.333333333333,0.5,281
347.333333333333,217,0.5,297
348.666666666667,218.333333333333,0.5,297
347.333333333333,228.333333333333,0.5,312
348.666666666667,222.333333333333,0.5,312
342,247.666666666667,0.5,328
345.333333333333,237.666666666667,0.5,328
335.333333333333,269.666666666667,0.5,344
338.666666666667,258.333333333333,0.5,344
328,297,0.5,359
330,289.666666666667,0.5,359
332,280.333333333333,0.5,359
326,304.333333333333,0.5,375
328,301,0.5,375
326,305.666666666667,0.5,390
326,307,0.5,390
328,306.333333333333,0.5,437
330,304.333333333333,0.5,437
333.333333333333,303,0.5,453
336.666666666667,301.666666666667,0.5,453
340,299.666666666667,0.5,469
343.333333333333,298.333333333333,0.5,469
348,295,0.5,484
352.666666666667,292.333333333333,0.5,484
358.666666666667,289.666666666667,0.5,500
363.333333333333,285.666666666667,0.5,500
368,281.666666666667,0.5,515
370.666666666667,278.333333333333,0.5,515
373.333333333333,275,0.5,531
375.333333333333,271.666666666667,0.5,531
376.666666666667,268.333333333333,0.5,531
376.666666666667,265,0.5,547
376.666666666667,266.333333333333,0.5,547
376.666666666667,263.666666666667,0.5,562
376.666666666667,262.333333333333,0.5,578
376,262.333333333333,0.5,609
372.666666666667,265.666666666667,0.5,625
374,263,0.5,625
366.666666666667,275.666666666667,0.5,640
370,269.666666666667,0.5,640
362,291,0.5,656
364,283,0.5,656
360,298.333333333333,0.5,672
360,303.666666666667,0.5,672
358,307.666666666667,0.5,687
358,311,0.5,687
358.666666666667,312.333333333333,0.5,703
360,313.666666666667,0.5,703
362,313.666666666667,0.5,719
366.666666666667,315.666666666667,0.5,719
372,315.666666666667,0.5,719
381.333333333333,311.666666666667,0.5,734
392.666666666667,306.333333333333,0.5,734
407.333333333333,297.666666666667,0.5,750
431.333333333333,283,0.5,750
461.333333333333,263.666666666667,0.5,765
494.666666666667,238.333333333333,0.5,765
528,208.333333333333,0.5,781
554.666666666667,177,0.5,781
578.666666666667,147,0.5,797
596.666666666667,121.666666666667,0.5,797
606.666666666667,105.666666666667,0.5,812
610.666666666667,95,0.5,812
610.666666666667,85,0.5,828
610.666666666667,88.3333333333333,0.5,828
608,81.6666666666667,0.5,844
